19051;56454898	5;1706948328
21263850;197634258	5;1673520261
21263850;197634258	5;1673520261
22456806;72882555	5;1632900302
19051;73523598	5;1672242060
22456806;127522207	5;1627973347
22456806;127522207	5;1627973369
22456806;179546079	5;1667212138
22456806;7644511	5;1633074443
19051;183058544	5;1672241982
22456806;164091968	5;1626763710
22456806;37411898	5;1633318138
19051;100931417	5;1697990572
22456806;112267625	5;1634710283
22456806;73316978	5;1636615366
22456806;57325188	5;1636024867
21263850;197558903	5;1663600621
21263850;197558903	5;1663600621
21263850;197353394	5;1663600626
22456806;80628930	5;1633074415
21263850;195801659	5;1661608306
22456806;72542510	5;1633074439
22456806;70016691	5;1625823011
21263850;197587855	5;1663309565
21263850;197587855	5;1663309565
21263850;197558901	5;1663600615
21263850;197558901	5;1663600615
22456806;41299109	5;1637119937
22456806;72459687	5;1631698143
22456806;74855018	5;1627308512
19051;190861559	4;1670084901
22456806;32192512	5;1639590152
22456806;111285063	5;1628177630
21263850;192124402	5;1673520274
21263850;192124402	5;1673520274
21263850;197353400	5;1663320689
22456806;54624821	5;1636615378
22456806;137561096	5;1637807515
22456806;54614798	5;1626087347
19051;29190891	5;1691245456
22456806;58695344	5;1633657072
22456806;10379318	5;1627979363
21263850;196515667	5;1673846194
21263850;196515667	5;1673846194
22456806;150712000	5;1644244094
21263850;196515669	5;1663728747
22456806;140635220	5;1667212160
22456806;58441510	5;1628755158
22456806;74217683	5;1633053835
22456806;165150440	5;1667212168
19051;7982629	5;1620206508
22456806;102629343	5;1632900283
22456806;46240930	5;1627973351
22456806;54748900	5;1628065554
21263850;194104225	5;1673587205
21263850;194104225	5;1673587205
22456806;91947690	5;1626335648
19051;75307229	5;1654339736
22456806;75307229	5;1639903543
22456806;145977549	5;1643175274
22456806;77774626	5;1636805281
22456806;67271339	5;1639903525
19051;165700193	5;1672242087
19051;165700193	5;1672242087
19051;73316971	5;1617786656
22456806;63473608	5;1667212335
22456806;66619716	5;1631698138
21263850;196851311	5;1663728751
22456806;127538916	5;1667212304
21263850;185024357	5;1654930616
21263850;197344457	5;1663728755
22456806;111285055	5;1629178925
21263850;196923453	5;1663153970
19051;85029034	5;1654339705
22456806;104741664	5;1644399535
19051;139979525	4;1676693858
22456806;14243289	5;1625888198
22456806;139567623	5;1644244074
22456806;591708	5;1626079972
22456806;66698345	5;1635740275
19051;184070224	5;1672242072
19051;32490133	5;1697990587
21263850;186265456	5;1656126091
22456806;110944249	5;1632900293
22456806;45321595	5;1628826006
19051;184070222	5;1672242098
22456806;85763212	5;1628493033
19051;196392403	5;1691245424
19051;196392403	5;1691245424
21263850;192115861	5;1659153299
21263850;196923458	5;1670235707
22456806;107802184	5;1633053808
22456806;90985719	5;1632986797
22456806;128649314	5;1644244112
19051;90679277	5;1691245450
21263850;195969673	5;1664239533
22456806;126743466	5;1644244068
22456806;57487634	5;1633657082
21263850;190701642	5;1657806401
21263850;190701642	5;1657806401
