24273069;125798	4;1642226342
24273069;43994337	5;1664626565
24273069;134846273	3;1668842584
19423783;133599627	5;1662875675
24273069;68585577	1;1682698778
24273069;100958466	5;1668342111
19423783;191571531	4;1668958770
24273069;100947275	5;1668932399
24273069;55506687	5;1642226702
19423783;198016674	5;1668961875
19423783;198016674	5;1668961875
24273069;63587073	5;1673190721
19423783;198016657	5;1665901961
24273069;46240921	5;1668933192
24273069;46240921	5;1668933192
24273069;42131412	1;1641891540
19423783;197558908	5;1665901953
24273069;184466861	4;1668932015
24273069;142675356	3;1668932962
24273069;4313655	5;1668342245
19423783;189326214	5;1665901944
19423783;196515669	5;1674445268
19423783;196515669	5;1674445268
24273069;155463026	5;1670569838
24273069;100958460	5;1668932394
19423783;125089637	5;1662875679
19423783;194104225	5;1674445279
19423783;194104225	5;1674445279
24273069;77774626	5;1642226820
24273069;145092111	5;1673190721
24273069;100958445	5;1668342143
19423783;196923453	5;1665901972
24273069;85763212	5;1642226812
19423783;196923458	5;1665901949
24273069;128649314	5;1671024242
19423783;192909293	5;1668961882
19423783;192788799	5;1660442557
19423783;194104220	4;1668961857
19423783;74903594	5;1662875669
24273069;73315372	1;1682698470
19423783;192909290	5;1671575607
19423783;192909290	5;1671575607
19423783;89179375	5;1662875690
19423783;195190274	5;1665901956
19423783;195190274	5;1665901956
19423783;195885686	5;1665901947
24273069;69764542	5;1642226966
19423783;77621608	5;1662875700
24273069;100931419	5;1671024241
24273069;42230122	5;1668933360
19423783;193981039	5;1665901965
19423783;193981039	5;1665901965
19423783;193896565	5;1662875661
24273069;271967576	5;1704040848
24273069;179547642	5;1676349393
24273069;248914131	5;1678508572
19423783;229702962	5;1705111553
19423783;123547399	5;1662803900
19423783;123547399	5;1639315992
19423783;123547399	5;1643386880
24273069;250109590	5;1698547960
24273069;124939771	5;1647754562
24273069;272443665	5;1708175664
19423783;57814361	5;1691334777
24273069;57814361	5;1630450082
19423783;247319494	5;1685843599
19423783;205815584	5;1671983571
24273069;205815584	5;1674896606
19423783;197214049	5;1669602762
19423783;173476396	5;1614571731
19423783;197214017	5;1698734703
24273069;196284533	5;1632735687
24273069;196284533	5;1610016887
24273069;196284533	4;1614223027
24273069;32033721	5;1658397247
19423783;32033721	5;1655608668
24273069;32033721	5;1646618888
24273069;32033721	5;1641899139
19423783;32033721	5;1632374739
19423783;70766425	5;1625285220
24273069;70766425	5;1611418034
19423783;70766425	5;1611331181
19423783;196284923	1;1653356085
19423783;196284418	4;1649585495
19423783;1061972	5;1622468593
19423783;1061972	1;1587349236
19423783;107059326	5;1619674599
19423783;195305661	5;1688891362
24273069;15665493	5;1639712126
24273069;56397522	5;1644371030
24273069;56397522	5;1634569379
19423783;23082382	5;1634748765
19423783;23082382	5;1615425176
19423783;191807820	5;1672457777
24273069;200816614	5;1557117263
19423783;200816614	5;1649324625
19423783;200816614	5;1602263572
24273069;200816614	5;1602068856
24273069;200816614	4;1627623525
24273069;29633669	5;1612940625
24273069;29633669	4;1574435222
24273069;72811869	5;1616182966
24273069;198929505	5;1698994697
19423783;105362163	1;1525964068
19423783;71523845	5;1623292504
24273069;71523845	5;1614134007
19423783;71523845	4;1637641819
19423783;71523845	4;1633352346
24273069;2766941	5;1606824411
24273069;195966452	5;1657297484
24273069;5986501	5;1646501106
24273069;5986501	5;1623297071
19423783;5986501	4;1637588934
24273069;73274712	5;1651979770
24273069;73274712	5;1612495541
19423783;274112780	3;1607994473
19423783;274112780	3;1533631266
19423783;41258015	5;1609757044
24273069;858830	5;1694444552
24273069;858830	5;1603168206
24273069;858830	5;1592967017
19423783;858830	5;1628386249
24273069;858830	1;1647697869
24273069;1061964	5;1616215761
19423783;1061964	5;1607825648
19423783;95681235	5;1664598236
24273069;95681235	5;1678496352
24273069;272961350	5;1574652976
19423783;272961350	5;1603103823
19423783;270823357	5;1647403159
19423783;270823357	5;1669984253
19423783;270823357	1;1608254043
19423783;71141571	5;1583843156
19423783;71141571	5;1644498952
24273069;71141571	5;1572500000
24273069;71141571	4;1611891408
24273069;105362061	5;1637636236
24273069;105362061	5;1634383382
19423783;105362061	5;1611223468
19423783;1068860	5;1510300295
24273069;126709	5;1650288957
24273069;12034875	5;1672813585
24273069;7286189	5;1598169082
19423783;80976068	5;1667979059
24273069;273881225	5;1597482856
19423783;12567799	5;1670153511
24273069;12567799	5;1668756468
19423783;12567799	5;1644641430
24273069;12567799	5;1626000728
24273069;12567799	5;1622172391
19423783;12567799	5;1621300916
24273069;7090467	5;1625144597
24273069;7090467	1;1704271729
19423783;195336651	5;1673058916
19423783;74466504	5;1623466296
19423783;577879	5;1642253864
24273069;22777860	5;1648327279
24273069;22777860	5;1606708234
24273069;22777860	5;1609221379
24273069;22777860	5;1585625122
19423783;22777860	5;1414128598
19423783;22777860	4;1635312166
19423783;22777860	4;1558007395
24273069;73550820	5;1607835413
19423783;76181683	5;1672102284
24273069;76181683	5;1651111645
19423783;76181683	5;1639277721
24273069;5856837	5;1647354456
24273069;23564916	5;1657267269
19423783;23564916	5;1610684647
24273069;23564916	5;1610637110
19423783;23564916	5;1587237961
24273069;23564916	4;1500278257
24273069;21931395	5;1616130250
19423783;161215924	5;1650461715
24273069;9834969	5;1615631859
19423783;5907073	5;1652252875
24273069;5907073	5;1669720005
19423783;5987219	5;1636883046
24273069;5987219	5;1636638355
24273069;19759193	5;1599711981
19423783;19759193	5;1624120906
14473153;70780913	1;1695732076
14473153;1061964	5;1685177465
14473153;1061964	5;1685177396
14473153;9834571	2;1648379161
14473153;126998622	5;1661310185
14473153;195305685	5;1715569565
14473153;195305685	5;1715569565
14473153;195300894	5;1715569569
14473153;195300894	5;1715569569
14473153;1022895	5;1695873137
14473153;1022895	5;1695873137
14473153;10908329	5;1626440576
14473153;4701561	5;1665511285
14473153;72212532	4;1697082535
14473153;94561382	5;1633404636
14473153;579457	5;1685938192
14473153;17593519	4;1622168999
14473153;68585577	5;1666837680
14473153;19771358	4;1581389152
14473153;57325188	5;1673334913
14473153;72459687	5;1665454169
14473153;111285063	5;1685177487
14473153;1080024	5;1613958650
14473153;23416723	5;1665454167
14473153;10397240	5;1666137471
14473153;35191894	5;1666837682
14473153;248914131	5;1691477357
14473153;253385464	5;1705059754
14473153;123547399	5;1681721605
14473153;124939771	5;1672207915
14473153;124939771	5;1710641138
14473153;124939771	5;1694339580
14473153;270471105	5;1697616762
14473153;57814361	5;1615775091
14473153;124944089	5;1692725591
14473153;217352081	5;1688613534
14473153;197214049	5;1666364806
14473153;196284533	5;1614212754
14473153;32033721	5;1647796568
14473153;32033721	1;1623384995
14473153;32033721	4;1637250227
14473153;1061972	4;1612002633
14473153;107059326	2;1614310170
14473153;107059326	4;1653163740
14473153;56397522	5;1631094517
14473153;56397522	5;1638934026
14473153;200816614	5;1607141050
14473153;200816614	5;1633771937
14473153;200816614	5;1610812853
14473153;200816614	5;1623497853
14473153;200816614	4;1631941035
14473153;200816614	3;1624677147
14473153;29633669	5;1689699602
14473153;29633669	5;1581928771
14473153;29633669	4;1610269573
14473153;29633669	3;1603121778
14473153;271190132	5;1641875734
14473153;271190132	5;1647325033
14473153;198929505	5;1709360813
14473153;105362163	5;1623132239
14473153;71523845	5;1697856118
14473153;71523845	5;1638603584
14473153;63982241	5;1660539240
14473153;63982241	5;1643158142
14473153;719373	5;1594389465
14473153;5986501	5;1634997017
14473153;73274712	5;1627691392
14473153;274112780	5;1597815424
14473153;858830	4;1609221919
14473153;270823357	5;1612369340
14473153;84179756	5;1606536264
14473153;105362061	5;1641054336
14473153;80976068	1;1639713060
14473153;7090467	5;1673785915
