23654678;32178098	3;1642405137
15410771;1918933	3;1590322390
23020209;580004	2;1602427319
15410771;83412141	1;1660233817
23654678;73124604	1;1635743838
23654678;73124604	1;1554222401
15410771;73124604	3;1662113049
23020209;53511925	3;1554295573
15410771;12288498	3;1607139115
23020209;66489595	1;1597643628
23654678;115701	3;1573371233
23020209;34471557	1;1598625978
15410771;116053	3;1676029038
23020209;6840061	1;1629604911
23020209;116407261	3;1682151969
23020209;116410160	1;1691570881
15410771;1745249	3;1625806986
23020209;12107380	3;1601300909
23654678;59262881	2;1624255963
23020209;4781791	3;1635612299
15410771;68585577	1;1608638110
23020209;104074994	1;1639853307
15410771;26114400	3;1607317272
23020209;7369225	3;1585642643
23654678;63587073	3;1614250359
23020209;117595539	2;1632996985
15410771;42131412	1;1641891540
23020209;3304877	3;1590576948
23654678;52788073	3;1631343065
23654678;77900447	3;1670237466
23654678;127522207	1;1663087727
15410771;20917700	3;1652751065
23654678;19771358	3;1582527446
23020209;80628930	1;1671260210
23654678;72542476	1;1657867680
23020209;1449791	3;1607333664
23020209;72459687	3;1636022161
23654678;111285063	3;1695649480
23020209;17502054	1;1533781572
15410771;13446509	3;1604067391
15410771;52584835	3;1611047223
15410771;58441510	1;1622871615
15410771;22634336	3;1602572055
23020209;17336361	3;1674973510
23020209;3643163	2;1614170648
23020209;162205267	1;1649167212
23020209;162205267	3;1656123763
15410771;31509727	2;1583488766
23654678;7916686	3;1550653758
23020209;14243289	3;1553315264
23020209;151994937	3;1658749734
23654678;3644269	3;1561381059
15410771;73810560	2;1625018474
15410771;73717907	1;1636611100
15410771;50751280	3;1606910250
23654678;109017987	3;1640266832
15410771;74021318	3;1652446351
23654678;87226757	3;1655893839
15410771;48592473	1;1641883686
15410771;55639167	3;1627799113
23020209;55639167	2;1599019180
23020209;171556603	3;1658231114
23654678;55119186	3;1604485110
23020209;54266568	3;1603334534
23654678;51111299	2;1555684676
23020209;8835160	3;1609131927
23020209;46789756	2;1648567594
23654678;1471907	1;1648374060
23020209;138269670	3;1648955586
15410771;641942	3;1639675923
23654678;49747008	3;1613621200
15410771;49747008	3;1662625277
23020209;14684953	1;1604311534
23020209;95218570	1;1640264903
23654678;71907877	1;1616752213
23020209;71907877	3;1612688404
23020209;147920904	3;1642322869
19218145;123547399	1;1639553073
22790914;32033721	1;1668154839
19218145;249851574	1;1631776196
19218145;270823357	3;1604916174
19218145;56321864	3;1608350859
5805909;23564916	3;1607689533
5805909;125798	2;1586311783
5805909;8058965	3;1598365184
5805909;7250495	3;1521717309
22790914;31602513	3;1587612630
22790914;70295740	1;1592134018
22790914;56190274	1;1671000988
19218145;273457220	2;1584553358
19218145;172245	2;1596501917
5805909;152447564	1;1634552288
19218145;152447564	3;1636379110
22790914;191478226	3;1607010627
