470130;57762733	5;1646129217
470130;68585577	5;1646129239
470130;160585763	5;1646121997
470130;124767705	5;1643291478
470130;191571531	5;1673194822
470130;89585119	5;1655272632
470130;192124400	5;1673194822
470130;79672198	5;1673194821
470130;160585833	5;1646122000
470130;194960724	5;1673194822
470130;127522207	5;1646129259
470130;33095730	5;1650986890
470130;80628930	5;1643414172
470130;77230664	5;1646129235
470130;106863965	5;1646129249
470130;189326214	5;1673194822
470130;189326214	5;1673194822
470130;54614798	5;1655272635
470130;165150440	5;1650986561
470130;49722651	5;1645970583
470130;46240930	5;1655272643
470130;100958445	5;1685264031
470130;46009014	5;1645139449
470130;95289212	5;1650986849
470130;170708234	5;1655272599
470130;160585765	5;1646122007
470130;142833448	5;1650986830
470130;171825202	5;1673194821
470130;85763212	5;1655272640
470130;107802184	5;1650986793
470130;128649314	5;1673194821
470130;50751280	5;1673194820
470130;109017987	5;1646129246
470130;194104220	5;1673194822
470130;135552452	5;1650986859
470130;175724126	5;1652242320
470130;69764542	5;1646129121
470130;3955615	5;1650986962
470130;100931419	5;1673194821
470130;1735367	5;1643414160
470130;103640414	5;1646129130
470130;116406679	5;1673194821
470130;169621655	5;1650986548
470130;109982975	5;1685264031
470130;109982975	5;1685264031
470130;72628054	5;1643090973
470130;71907877	5;1673194820
470130;113530807	5;1655272628
28033609;4781791	5;1675391197
28033609;69764536	5;1670217858
28033609;115437042	5;1668184302
28033609;117595539	5;1708487108
28033609;189643110	5;1668184296
28033609;3304877	5;1670867719
28033609;13419679	5;1680104530
28033609;52788073	5;1675244705
28033609;184466861	5;1669626277
28033609;103379149	5;1680697540
28033609;57325188	5;1680697531
28033609;72314471	5;1668224887
28033609;1449791	5;1684894617
28033609;8886002	5;1675391195
28033609;70016691	5;1668570851
28033609;70016693	5;1684894623
28033609;29190891	5;1669626262
28033609;176550202	5;1671639388
28033609;8835166	5;1708487114
28033609;14674575	5;1684894614
28033609;3718337	5;1668224902
28033609;116397451	5;1684894607
28033609;9948010	5;1684894621
28033609;117238178	5;1680697543
28033609;57211758	5;1670867709
28033609;52329766	5;1680104525
28033609;114937971	5;1669626265
28033609;194205621	5;1684894602
28033609;194205621	5;1684894602
28033609;120219395	5;1684894611
28033609;14053725	5;1675244698
28033609;99513995	5;1708487105
28033609;3955615	5;1669626293
28033609;52785565	5;1675391193
28033609;641942	5;1675244700
28033609;50414369	5;1680697535
28033609;12377499	5;1669626282
28033609;94173459	5;1708487111
28033609;15267828	5;1708487119
28033609;147920904	5;1668570864
28033609;191148796	5;1668224859
28033609;196150483	5;1668570857
