51302;3955615	5;1613494568
51302;8835160	5;1615799327
51302;117254521	5;1640866913
21309136;92996207	5;1678806608
51302;109018531	5;1639390596
51302;173420793	5;1650175443
21309136;641942	5;1654786004
21309136;76388963	5;1648012986
21309136;52789368	5;1639485434
51302;149257066	5;1644573531
51302;174038848	5;1650882969
21309136;127844386	5;1690015906
21309136;35191894	5;1648013030
21309136;111582632	5;1678806710
51302;3738175	5;1648458977
21309136;15267828	5;1678806717
21309136;71907877	5;1648012998
21309136;77105731	5;1690015898
51302;77105731	5;1613494555
51302;104273019	5;1626155850
383088;2130493	5;1555677523
383088;56454898	5;1671987477
383088;121635155	5;1711552445
383088;1449791	5;1671987481
383088;180851004	4;1654221991
383088;102629343	5;1671987456
383088;193211311	5;1671987436
383088;197119850	5;1671987385
383088;76012204	5;1653740576
383088;81437587	5;1671987381
383088;190242075	5;1659330074
383088;194959712	5;1671539432
383088;194959712	5;1671539432
383088;4466843	5;1680882175
383088;116397451	5;1671987464
383088;179546071	5;1671987401
383088;190707623	5;1711552378
383088;190707623	5;1711552378
383088;117238178	5;1671987485
383088;52329766	5;1655955561
383088;114937971	5;1655909752
383088;120219395	5;1711552448
383088;194104630	5;1671987414
383088;99513995	5;1711552442
383088;179546075	5;1671987397
383088;192339428	5;1671987368
383088;192339428	5;1671987368
383088;149257066	5;1671987410
18725843;195521213	4;1662918936
18725843;103379149	5;1664435430
18725843;142675356	5;1658973404
18725843;192124394	5;1683747961
18725843;192124394	5;1683747961
18725843;194959175	5;1671816530
18725843;159004133	5;1671816536
18725843;7982629	5;1628563904
18725843;197344457	5;1683747992
18725843;197344457	5;1683747992
18725843;102832721	5;1658973446
18725843;102832721	5;1658973446
18725843;81437587	5;1626060596
18725843;81437587	5;1626060601
18725843;117238178	5;1664435409
18725843;188128049	5;1683747878
18725843;188128049	5;1683747878
18725843;164336674	5;1664435378
18725843;9687404	5;1617852786
18725843;157240667	5;1671816493
18725843;186091873	5;1662918946
18725843;27582932	5;1664435389
18725843;196016786	5;1683747872
18725843;196016786	5;1683747872
