14473153;70780913	1;1695732076
14473153;1061964	5;1685177465
14473153;1061964	5;1685177396
14473153;9834571	2;1648379161
14473153;126998622	5;1661310185
14473153;195305685	5;1715569565
14473153;195305685	5;1715569565
14473153;195300894	5;1715569569
14473153;195300894	5;1715569569
14473153;1022895	5;1695873137
14473153;1022895	5;1695873137
14473153;10908329	5;1626440576
14473153;4701561	5;1665511285
14473153;72212532	4;1697082535
14473153;94561382	5;1633404636
14473153;579457	5;1685938192
14473153;17593519	4;1622168999
14473153;68585577	5;1666837680
14473153;19771358	4;1581389152
14473153;57325188	5;1673334913
14473153;72459687	5;1665454169
14473153;111285063	5;1685177487
14473153;1080024	5;1613958650
14473153;23416723	5;1665454167
14473153;10397240	5;1666137471
14473153;35191894	5;1666837682
5253296;273881225	5;1604998617
5253296;81499981	5;1631625880
5253296;4781791	5;1603916375
5253296;69764536	5;1631939931
5253296;8885996	5;1603943272
5253296;750581	5;1603280575
1302791;174215337	5;1656401374
1302791;174215337	5;1656401374
1302791;110448023	5;1677886275
1302791;91774357	5;1678808019
1302791;91774357	5;1678808019
1302791;196515662	5;1664281696
1302791;196515662	5;1664281696
1302791;171549984	5;1662542792
5253296;39001	5;1616582676
1302791;3304877	5;1677886286
5253296;58627103	3;1602836750
5253296;13419679	5;1616582666
5253296;191571329	2;1660836317
5253296;52788073	5;1603943127
1302791;194960724	5;1662543343
1302791;103379149	4;1643080263
1302791;197990866	5;1664281672
1302791;197990866	5;1664281672
1302791;197353394	5;1664283087
1302791;197353394	5;1664283087
5253296;72542476	5;1616683853
1302791;77230664	5;1643080251
5253296;77230664	4;1639107699
5253296;4040665	5;1609137154
5253296;4313655	5;1603916263
5253296;13446509	5;1616582439
1302791;66698572	5;1679728113
1302791;66698572	5;1679728113
5253296;74217683	5;1609137093
5253296;29878198	5;1609137163
5253296;7982629	5;1603101110
5253296;111155172	5;1626573842
5253296;54748900	5;1604139107
1302791;184774174	5;1677886261
5253296;17336361	5;1614608622
5253296;626888	5;1646906744
5253296;16284287	5;1603302162
5253296;130997090	5;1636072250
5253296;72102027	5;1616582686
5253296;121185873	1;1678635012
5253296;31509727	5;1616683849
1302791;185024357	1;1655209810
5253296;76012204	5;1631684103
5253296;8886000	5;1603943101
5253296;46009014	5;1639254558
5253296;46009014	5;1639254558
1302791;76175425	5;1682352606
5253296;76175425	5;1616990607
1302791;152517439	5;1671716418
1302791;152517439	5;1671716418
5253296;41131986	5;1616582456
1302791;161929581	1;1675091972
1302791;161929581	1;1675091972
1302791;186265456	5;1656141207
5253296;99992417	5;1639254565
5253296;99992417	5;1639254565
1302791;192115861	5;1662543376
1302791;148760919	5;1640597757
5253296;148760919	1;1678635467
5253296;19792257	5;1616582682
5253296;48481764	1;1678635240
5253296;1080024	5;1607763870
5253296;5411141	4;1609137050
1302791;148761078	5;1640597741
5253296;148761078	1;1678635483
1302791;197781978	5;1664283101
1302791;197781978	5;1664283101
1302791;197990872	5;1665417926
1302791;197990872	5;1665417926
1302791;76278486	5;1668324359
5253296;65029082	5;1600871641
1302791;186091873	5;1673024640
1302791;186091873	5;1673024640
5253296;27582932	5;1600326639
5253296;149089471	1;1678635266
1302791;14053725	5;1708831727
1302791;178032048	5;1672760032
1302791;178032048	5;1672760032
1302791;57761619	5;1708831718
5253296;8835160	5;1603990987
1302791;197990868	5;1665417994
1302791;197990868	5;1665417994
5253296;1735367	5;1616079166
1302791;54383649	5;1677886245
1302791;54383649	5;1677886245
5253296;10581201	5;1602394262
1302791;641942	5;1663689643
5253296;57870427	5;1601098658
5253296;52789368	5;1603194777
5253296;14684953	5;1604139171
1302791;174215348	5;1661920756
1302791;174215348	5;1661920756
5253296;12377499	5;1603280592
1302791;189657055	5;1657613870
